uri,id,label,description,created_at,cluster_id
https://orkg.org/property/P33000,P33000,"""Format""",,2020-11-19T12:04:36.624027+01:00,69
https://orkg.org/property/P97127,P97127,# accepted submission,"Number of submission accepted to an event (e.g., scientific event) or a journal",2023-02-04T12:22:03.314426Z,2664
https://orkg.org/property/P97162,P97162,# annotated column,Number of columns annotated in the tabular dataset,2023-02-06T07:01:03.281916Z,707
https://orkg.org/property/P97118,P97118,# avg row,Average number of rows,2023-02-04T11:58:43.092668Z,854
https://orkg.org/property/P97113,P97113,# classes,Number of classes of a tabular dataset,2023-02-04T11:49:50.724488Z,253
https://orkg.org/property/P97111,P97111,# column,The number of columns in a tabular dataset,2023-02-04T11:48:53.89106Z,2329
https://orkg.org/property/P15309,P15309,# convolutional layer,,2020-03-31T09:14:23.785+02:00,2328
https://orkg.org/property/P97108,P97108,# core participant,Number of participants who completed a certain number of tasks in a challenge,2023-02-04T11:35:50.891641Z,173
https://orkg.org/property/P97115,P97115,# entity,Number of entities in a dataset,2023-02-04T11:50:56.20043Z,763
https://orkg.org/property/P15027,P15027,# Entries,,2020-03-30T20:52:35.325+02:00,1352
https://orkg.org/property/P105019,P105019,# epoch,,2023-03-11T10:37:44.424776Z,2327
https://orkg.org/property/P106003,P106003,# image,The total number of images in the dataset,2023-03-18T11:11:07.168755Z,809
https://orkg.org/property/P97200,P97200,# linked cells,Refers to the number of cells linked to an entity,2023-02-08T13:21:53.19609Z,2326
https://orkg.org/property/P97175,P97175,# max column,Maximum number of columns,2023-02-06T12:29:34.543242Z,1446
https://orkg.org/property/P97173,P97173,# max row,Maximum number of row,2023-02-06T12:27:46.902772Z,1446
https://orkg.org/property/P97169,P97169,# min row,Minimum number of row in the dataset ,2023-02-06T12:25:14.446524Z,2325
https://orkg.org/property/P175035,P175035,# of languages,,2025-06-29T14:02:24.393241793+02:00,120
https://orkg.org/property/P59000,P59000,# of Recordings,,2022-06-29T01:56:25.617677Z,2324
https://orkg.org/property/P175019,P175019,# of References,,2025-06-22T19:12:29.253550134+02:00,236
https://orkg.org/property/P175037,P175037,# of Scripts,,2025-06-29T14:02:24.836821106+02:00,1250
https://orkg.org/property/P15069,P15069,# of Subjects,number of subjects ,2020-03-30T20:57:44.879+02:00,867
https://orkg.org/property/P97053,P97053,# participants,"The number of participants to an event, a project, etc.",2023-01-31T05:57:48.766736Z,100
https://orkg.org/property/P15319,P15319,# points,,2020-03-31T09:15:44.542+02:00,1316
https://orkg.org/property/P97129,P97129,# poster,Number of posters accepted to a scientific event,2023-02-04T12:23:09.672965Z,2323
https://orkg.org/property/P105002,P105002,# rating,Number of ranking attributed to items in a dataset,2023-03-11T08:40:49.639826Z,505
https://orkg.org/property/P97128,P97128,# rejected submission,"Number of submission rejected to an event (e.g., scientific event) or a journal",2023-02-04T12:22:35.919692Z,529
https://orkg.org/property/P97049,P97049,# round,The number of rounds of the challenge,2023-01-31T05:42:09.26784Z,2322
https://orkg.org/property/P97112,P97112,# row,The number of row of a tabular dataset,2023-02-04T11:49:28.642204Z,2321
https://orkg.org/property/P65084,P65084,# Samples,number of test samples per class per subject,2022-08-04T15:40:52.582469Z,240
https://orkg.org/property/P97152,P97152,# schema.org class,The number of classes from schema.org used to annotate the resource,2023-02-05T13:21:38.659797Z,1540
https://orkg.org/property/P97151,P97151,# Schema.org property,The number of properties of Schema.org used to annotate the resource,2023-02-05T13:20:55.827071Z,1539
https://orkg.org/property/P65083,P65083,# Sources,,2022-08-04T15:30:25.938609Z,25
https://orkg.org/property/P97134,P97134,# submission,Number of submission to an event,2023-02-04T12:38:28.49417Z,529
https://orkg.org/property/P97109,P97109,# table,"Number of table (e.g., CSV tables) in a dataset",2023-02-04T11:41:52.100789Z,658
https://orkg.org/property/P105001,P105001,# test images,The number of images provided in the dataset for testing the model,2023-03-11T08:24:07.441719Z,2319
https://orkg.org/property/P105000,P105000,# trained images,The number of images provided for training the model in the dataset,2023-03-11T08:23:22.958507Z,2309
https://orkg.org/property/P97201,P97201,# typed cols,Refers to the number of columns with a known class associated,2023-02-08T13:22:18.156676Z,2318
https://orkg.org/property/P105003,P105003,# user,Number of users in the dataset,2023-03-11T08:41:13.035561Z,690
https://orkg.org/property/P65087,P65087,# Users,,2022-08-04T15:43:44.039303Z,1459
https://orkg.org/property/P89001,P89001,#description,,2022-12-12T17:33:45.196413Z,57
https://orkg.org/property/P23154,P23154,% Female,,2020-06-19T18:10:28.29048+02:00,152
https://orkg.org/property/P27023,P27023,% of female,,2020-09-07T18:20:47.611274+02:00,152
https://orkg.org/property/P87000,P87000,% of respondents,The percentage of respondents reporting public repository,2022-12-07T09:31:11.731908Z,1530
https://orkg.org/property/P23155,P23155,% White,,2020-06-19T18:10:28.323958+02:00,2317
https://orkg.org/property/P147026,P147026,(meta) model,,2024-06-15T07:37:04.926937838+02:00,1453
https://orkg.org/property/P146011,P146011,03 - Region,,2024-06-05T17:34:42.815485166+02:00,512
https://orkg.org/property/P146003,P146003,07- Model 2,,2024-06-05T15:10:21.746948352+02:00,74
https://orkg.org/property/P156043,P156043,10.1016/j.heliyon.2020.e03432,,2024-09-17T22:26:29.234417124+02:00,1462
https://orkg.org/property/P58001,P58001,1st Dataset,,2022-06-18T18:00:48.106087Z,31
https://orkg.org/property/P58009,P58009,1st Dataset Accuracy,,2022-06-19T06:38:29.080646Z,31
https://orkg.org/property/P58004,P58004,1st Dataset Precision,,2022-06-18T20:34:05.934295Z,31
https://orkg.org/property/P58018,P58018,1st Dataset Recall,,2022-06-19T06:43:10.780342Z,31
https://orkg.org/property/P58006,P58006,1st Dataset Size,,2022-06-19T06:22:53.959168Z,19
https://orkg.org/property/P58113,P58113,1st Dataset url,,2022-06-27T22:08:44.343407Z,795
https://orkg.org/property/P183137,P183137,1st step,,2025-11-09T10:15:37.711905671+01:00,29
https://orkg.org/property/P37358,P37358,2D modeling,,2021-05-29T21:33:43.086217+02:00,864
https://orkg.org/property/P23119,P23119,2nd AED,,2020-06-11T13:27:05.990265+02:00,761
https://orkg.org/property/P58002,P58002,2nd Dataset,,2022-06-18T18:01:03.977405Z,31
