uri,id,label,description,created_at
https://orkg.org/property/P4039,P4039,is,,2019-01-06T15:04:07.692Z
https://orkg.org/property/P4030,P4030,communication skills,,2019-01-06T15:04:07.692Z
https://orkg.org/property/P4038,P4038,could be applicated to,,2019-01-06T15:04:07.692Z
https://orkg.org/property/P4036,P4036,using,,2019-01-06T15:04:07.692Z
https://orkg.org/property/P0,P0,addresses,Physical address of the item.,2019-01-06T15:04:07.692Z
https://orkg.org/property/P4029,P4029,interpersonal skills,,2019-01-06T15:04:07.692Z
https://orkg.org/property/P4023,P4023,Person,,2019-01-06T15:04:07.692Z
https://orkg.org/property/P4037,P4037,listing,,2019-01-06T15:04:07.692Z
https://orkg.org/property/P4035,P4035,between,,2019-01-06T15:04:07.692Z
https://orkg.org/property/P4031,P4031,general computing skills,,2019-01-06T15:04:07.692Z
https://orkg.org/property/P11,P11,problem,"A situation, person, or thing that needs attention and needs to be dealt with or solved.",2019-01-06T15:04:07.692Z
https://orkg.org/property/P5,P5,uses,,2019-01-06T15:04:07.692Z
https://orkg.org/property/P4028,P4028,customer service,,2019-01-06T15:04:07.692Z
https://orkg.org/property/P4024,P4024,Challenge,,2019-01-06T15:04:07.692Z
https://orkg.org/property/P3,P3,is a,,2019-01-06T15:04:07.692Z
https://orkg.org/property/P16,P16,has,,2019-01-06T15:04:07.692Z
https://orkg.org/property/P17,P17,has part,Indicates a CreativeWork that is (in some sense) a part of this CreativeWork. Reverse property isPartOf.,2019-01-06T15:04:07.692Z
https://orkg.org/property/P4025,P4025,from Chartered Institute of Library and Information Professional’s Library and Information Gazette,,2019-01-06T15:04:07.692Z
https://orkg.org/property/P4034,P4034,is,,2019-01-06T15:04:07.692Z
https://orkg.org/property/P4032,P4032,between advertisements and Information National Training Organisation and Library and Information Management Employability Skills,,2019-01-06T15:04:07.692Z
https://orkg.org/property/P4026,P4026,over the period May 2006-2007,,2019-01-06T15:04:07.692Z
https://orkg.org/property/P4021,P4021,MAE,%,2019-01-06T15:04:07.692Z
https://orkg.org/property/P23,P23,defines,,2019-01-06T15:04:07.692Z
https://orkg.org/property/P24,P24,field,,2019-01-06T15:04:07.692Z
https://orkg.org/property/P25,P25,web site,,2019-01-06T15:04:07.692Z
https://orkg.org/property/P12,P12,solution,The answer to a problem.,2019-01-06T15:04:07.692Z
https://orkg.org/property/P4027,P4027,research skills,,2019-01-06T15:04:07.692Z
https://orkg.org/property/P13,P13,use case,hh,2019-01-06T15:04:07.692Z
https://orkg.org/property/P6,P6,author,The author of this content.,2019-01-06T15:04:07.692Z
https://orkg.org/property/P14,P14,description,Describes the contribution in a summarized way. It is a combination of the 'abstract' and the key points (key takeaways) of the contribution.,2019-01-06T15:04:07.692Z
https://orkg.org/property/P7,P7,affiliation,"An organization that this person is affiliated with. For example, a school/university.",2019-01-06T15:04:07.692Z
https://orkg.org/property/P15,P15,implementation,,2019-01-06T15:04:07.692Z
https://orkg.org/property/P33,P33,approach,,2019-01-06T15:04:07.692Z
https://orkg.org/property/P34,P34,evaluation,Model Evaluation is the process through which we quantify the quality of a system's predictions. ,2019-01-06T15:04:07.692Z
https://orkg.org/property/P35,P35,implementation,,2019-01-06T15:04:07.692Z
https://orkg.org/property/P36,P36,has subfield,,2019-01-06T15:04:07.692Z
https://orkg.org/property/P8,P8,email,Email address.,2019-01-06T15:04:07.692Z
https://orkg.org/property/P18,P18,part of,,2019-01-06T15:04:07.692Z
https://orkg.org/property/P4033,P4033,available,,2019-01-06T15:04:07.692Z
https://orkg.org/property/P19,P19,input,,2019-01-06T15:04:07.692Z
https://orkg.org/property/P4020,P4020,MAPE,,2019-01-06T15:04:07.692Z
https://orkg.org/property/P4019,P4019,Company,,2019-01-06T15:04:07.692Z
https://orkg.org/property/P4022,P4022,Institution,,2019-01-06T15:04:07.692Z
https://orkg.org/property/P2,P2,employs,,2019-01-06T15:04:07.692Z
https://orkg.org/property/P22,P22,environment,,2019-01-06T15:04:07.692Z
https://orkg.org/property/P1000,P1000,uses library,,2019-01-06T15:04:07.692Z
https://orkg.org/property/P1001,P1001,uses graph,,2019-01-06T15:04:07.692Z
https://orkg.org/property/P1002,P1002,uses framework,,2019-01-06T15:04:07.692Z
https://orkg.org/property/P1003,P1003,url,URL of the item.,2019-01-06T15:04:07.692Z
https://orkg.org/property/P1004,P1004,model,models,2019-01-06T15:04:07.692Z
https://orkg.org/property/P1005,P1005,method,The methodological approach underlying the contribution.,2019-01-06T15:04:07.692Z
https://orkg.org/property/P1006,P1006,result,The final output of the system being described ,2019-01-06T15:04:07.692Z
https://orkg.org/property/P1007,P1007,experiment,"A scientific procedure undertaken to make a discovery, test a hypothesis, or demonstrate a known fact.",2019-01-06T15:04:07.692Z
https://orkg.org/property/P1008,P1008,conducted at,,2019-01-06T15:04:07.692Z
https://orkg.org/property/P1009,P1009,participants,"Persons who are taking place in an activity, event or experiment. ",2019-01-06T15:04:07.692Z
https://orkg.org/property/P2000,P2000,robotised the workflow,,2019-01-06T15:04:07.692Z
https://orkg.org/property/P2001,P2001,Algorithm,"A finite sequence of rigorous well-defined instructions, typically used to solve a class of specific problems or to perform a computation.",2019-01-06T15:04:07.692Z
https://orkg.org/property/P2002,P2002,Stable,,2019-01-06T15:04:07.692Z
https://orkg.org/property/P2003,P2003,Best complexity,,2019-01-06T15:04:07.692Z
https://orkg.org/property/P2004,P2004,Worst complexity,,2019-01-06T15:04:07.692Z
https://orkg.org/property/P2005,P2005,dataset,"collection of data used in the study/contribution. May refer for example to a URL, a text description or to the name of a dataset item in ORKG to be described using the ""dataset"" template.",2019-01-06T15:04:07.692Z
https://orkg.org/property/P2006,P2006,metric,Metrics are used to monitor and measure the performance of a model during training and testing.,2019-01-06T15:04:07.692Z
https://orkg.org/property/P2007,P2007,presents,,2019-01-06T15:04:07.692Z
https://orkg.org/property/P4005,P4005,code List,,2019-01-06T15:04:07.692Z
https://orkg.org/property/P2008,P2008,Formalization,,2019-01-06T15:04:07.692Z
https://orkg.org/property/P3000,P3000,keywords,Keywords or tags used to describe this content. Multiple entries in a keywords list are typically delimited by commas.,2019-01-06T15:04:07.692Z
https://orkg.org/property/P4004,P4004,dimension,,2019-01-06T15:04:07.692Z
https://orkg.org/property/P4007,P4007,structure,,2019-01-06T15:04:07.692Z
https://orkg.org/property/P4003,P4003,has specified output,,2019-01-06T15:04:07.692Z
https://orkg.org/property/P4006,P4006,measure,,2019-01-06T15:04:07.692Z
https://orkg.org/property/P3001,P3001,Feature extraction,,2019-01-06T15:04:07.692Z
https://orkg.org/property/P3002,P3002,Feature selection,"Selection of the features for machine learning model (e.g. manual, trial-error, F test, reccursive feature elimination, etc.)",2019-01-06T15:04:07.692Z
https://orkg.org/property/P3003,P3003,Classification,,2019-01-06T15:04:07.692Z
https://orkg.org/property/P3004,P3004,precision,The fraction of relevant instances among all retrieved instances.,2019-01-06T15:04:07.692Z
https://orkg.org/property/P3005,P3005,Sensitivity,the proportion of samples that are genuinely positive that give a positive result using the test in question,2019-01-06T15:04:07.692Z
https://orkg.org/property/P3006,P3006,Specificity,,2019-01-06T15:04:07.692Z
https://orkg.org/property/P3007,P3007,propose,,2019-01-06T15:04:07.692Z
https://orkg.org/property/P4045,P4045,SASD,,2019-01-06T15:04:07.692Z
https://orkg.org/property/P4046,P4046,SADASdAD,,2019-01-06T15:04:07.692Z
https://orkg.org/property/P4000,P4000,R4001,,2019-01-06T15:04:07.692Z
https://orkg.org/property/P4001,P4001,label,Used to provide a human-readable version of a resource's name.,2019-01-06T15:04:07.692Z
https://orkg.org/property/P4002,P4002,R4009,,2019-01-06T15:04:07.692Z
https://orkg.org/property/P1,P1,yields,The techniques and methods used in this comparison.,2019-01-06T15:04:07.692Z
https://orkg.org/property/P4017,P4017,Data,instance of a class fabio:Dataset. https://sparontologies.github.io/fabio/current/fabio.html#d4e2865,2019-01-06T15:04:07.692Z
https://orkg.org/property/P20,P20,output,,2019-01-06T15:04:07.692Z
https://orkg.org/property/P9,P9,ORCID,,2019-01-06T15:04:07.692Z
https://orkg.org/property/P4,P4,refers to,provides context what is being refered to in a given statement,2019-01-06T15:04:07.692Z
https://orkg.org/property/P10,P10,DOI,,2019-01-06T15:04:07.692Z
https://orkg.org/property/P21,P21,programming language,The computer programming language.,2019-01-06T15:04:07.692Z
https://orkg.org/property/P4008,P4008,component,,2019-01-06T15:04:07.692Z
https://orkg.org/property/P4009,P4009,has value specification,,2019-01-06T15:04:07.692Z
https://orkg.org/property/P4010,P4010,top Concept Of,,2019-01-06T15:04:07.692Z
https://orkg.org/property/P4011,P4011,in Scheme,,2019-01-06T15:04:07.692Z
https://orkg.org/property/P4012,P4012,type,Spectroscopy properties,2019-01-06T15:04:07.692Z
https://orkg.org/property/P4013,P4013,range,The range is the difference between the highest and lowest values in a set of numbers.,2019-01-06T15:04:07.692Z
https://orkg.org/property/P4014,P4014,has specified numeric value,,2019-01-06T15:04:07.692Z
https://orkg.org/property/P4015,P4015,has specified input,,2019-01-06T15:04:07.692Z
https://orkg.org/property/P4018,P4018,Process,,2019-01-06T15:04:07.692Z
https://orkg.org/property/P4016,P4016,Material,,2019-01-06T15:04:07.692Z
https://orkg.org/property/P4040,P4040,between,,2019-01-06T15:04:07.692Z
https://orkg.org/property/P4019,P4019,Company,,2019-01-06T15:04:07.692Z
https://orkg.org/property/P4020,P4020,MAPE,,2019-01-06T15:04:07.692Z
https://orkg.org/property/P4021,P4021,MAE,%,2019-01-06T15:04:07.692Z
https://orkg.org/property/P4022,P4022,Institution,,2019-01-06T15:04:07.692Z
https://orkg.org/property/P4023,P4023,Person,,2019-01-06T15:04:07.692Z
https://orkg.org/property/P4024,P4024,Challenge,,2019-01-06T15:04:07.692Z
https://orkg.org/property/P4025,P4025,from Chartered Institute of Library and Information Professional’s Library and Information Gazette,,2019-01-06T15:04:07.692Z
https://orkg.org/property/P4026,P4026,over the period May 2006-2007,,2019-01-06T15:04:07.692Z
https://orkg.org/property/P4027,P4027,research skills,,2019-01-06T15:04:07.692Z
https://orkg.org/property/P4028,P4028,customer service,,2019-01-06T15:04:07.692Z
https://orkg.org/property/P4029,P4029,interpersonal skills,,2019-01-06T15:04:07.692Z
https://orkg.org/property/P4030,P4030,communication skills,,2019-01-06T15:04:07.692Z
https://orkg.org/property/P4031,P4031,general computing skills,,2019-01-06T15:04:07.692Z
https://orkg.org/property/P4032,P4032,between advertisements and Information National Training Organisation and Library and Information Management Employability Skills,,2019-01-06T15:04:07.692Z
https://orkg.org/property/P4033,P4033,available,,2019-01-06T15:04:07.692Z
https://orkg.org/property/P4034,P4034,is,,2019-01-06T15:04:07.692Z
https://orkg.org/property/P4035,P4035,between,,2019-01-06T15:04:07.692Z
https://orkg.org/property/P4036,P4036,using,,2019-01-06T15:04:07.692Z
https://orkg.org/property/P4037,P4037,listing,,2019-01-06T15:04:07.692Z
https://orkg.org/property/P4038,P4038,could be applicated to,,2019-01-06T15:04:07.692Z
https://orkg.org/property/P4039,P4039,is,,2019-01-06T15:04:07.692Z
https://orkg.org/property/P4040,P4040,between,,2019-01-06T15:04:07.692Z
https://orkg.org/property/P4041,P4041,using,,2019-01-06T15:04:07.692Z
https://orkg.org/property/P4042,P4042,listing,,2019-01-06T15:04:07.692Z
https://orkg.org/property/P4043,P4043,could be applicated to,,2019-01-06T15:04:07.692Z
https://orkg.org/property/P4044,P4044,restricted to,,2019-01-06T15:04:07.692Z
https://orkg.org/property/P2007,P2007,presents,,2019-01-06T15:04:07.692Z
https://orkg.org/property/P7,P7,affiliation,"An organization that this person is affiliated with. For example, a school/university.",2019-01-06T15:04:07.692Z
https://orkg.org/property/P4047,P4047,has size,,2019-01-06T15:04:07.692Z
https://orkg.org/property/P4048,P4048,from,,2019-01-06T15:04:07.692Z
https://orkg.org/property/P4049,P4049,has vertices,,2019-01-06T15:04:07.692Z
https://orkg.org/property/P4050,P4050,Has edges,,2019-01-06T15:04:07.692Z
https://orkg.org/property/P4051,P4051,provided by,,2019-01-06T15:04:07.692Z
https://orkg.org/property/P4052,P4052,is independent of,,2019-01-06T15:04:07.692Z
https://orkg.org/property/P4053,P4053,is about,describe about the article major contribution,2019-01-06T15:04:07.692Z
https://orkg.org/property/P4054,P4054,based on,,2019-01-06T15:04:07.692Z
https://orkg.org/property/P4055,P4055,sample size,total number of replicates (n) across all treatments in a study,2019-01-06T15:04:07.692Z
https://orkg.org/property/P4056,P4056,has methodology,"the knowledge, which the research involved",2019-01-06T15:04:07.692Z
https://orkg.org/property/P4057,P4057,Planung,,2019-01-06T15:04:07.692Z
https://orkg.org/property/P4058,P4058,Aktivität,,2019-01-06T15:04:07.692Z
https://orkg.org/property/P4059,P4059,Has url,,2019-01-06T15:04:07.692Z
https://orkg.org/property/P4060,P4060,capable of,,2019-01-06T15:04:07.692Z
https://orkg.org/property/P4061,P4061,is dependent of,,2019-01-06T15:04:07.692Z
https://orkg.org/property/P4062,P4062,showing,,2019-01-06T15:04:07.692Z
https://orkg.org/property/P4063,P4063,detecting,,2019-01-06T15:04:07.692Z
https://orkg.org/property/P5000,P5000,Heuristic followed,,2019-12-17T09:42:25.22+01:00
https://orkg.org/property/P5001,P5001,deals with,,2019-12-17T09:42:25.418+01:00
https://orkg.org/property/P5002,P5002,uses similarity,,2019-12-17T09:42:25.45+01:00
https://orkg.org/property/P5003,P5003,Performance metric,,2019-12-17T09:42:25.472+01:00
https://orkg.org/property/P5004,P5004,Evidence,,2019-12-17T09:42:25.504+01:00
https://orkg.org/property/P5005,P5005,Uncertainty,,2019-12-17T09:42:25.531+01:00
https://orkg.org/property/P5006,P5006,Limitations,shows the limitations of benchmark,2019-12-17T09:42:25.565+01:00
https://orkg.org/property/P5007,P5007,Clustering,,2019-12-17T09:42:25.598+01:00
https://orkg.org/property/P5008,P5008,Graph,,2019-12-17T09:42:25.631+01:00
https://orkg.org/property/P5009,P5009,Task,"Task is a multi-valued field with the following subfields: 1) Task Type -this field describes the nature of the task used to evaluate hallucinations in LLMs (i.e. Generative QA, Multi-Choice QA, ​Detection) 2) Input -this field specifies the type of input provided to the model for the task (i.e. Question, Paragraph & Concept, Query, Document) 3)  Label -this field indicates the type of label or expected output used for evaluation (i.e. Answer, Passage, Response, Summary) 4) Metric-this field describes the metrics used to evaluate the model's performance (i.e. LLM-Judge & Human, Acc: Accuracy, EM: Exact Match, AUROC: Area Under the Receiver Operating Characteristic curve, ​P & R & F1: Precision, Recall, and F1 score, Balanced accuracy)",2019-12-17T11:39:36.12+01:00
https://orkg.org/property/P5010,P5010,Test questions,,2019-12-17T11:39:36.144+01:00
https://orkg.org/property/P5011,P5011,Train questions,,2019-12-17T11:39:36.167+01:00
https://orkg.org/property/exampleOfUsage,exampleOfUsage,example of usage,,2019-12-17T11:39:36.19+01:00
https://orkg.org/property/P5012,P5012,Question language,,2019-12-17T11:39:36.19+01:00
https://orkg.org/property/P5013,P5013,Language,The language used by the LLM Hallucination Benchmark,2019-12-17T11:39:36.212+01:00
https://orkg.org/property/P5014,P5014,Question amount,,2019-12-17T11:39:36.235+01:00
https://orkg.org/property/P5015,P5015,Recall,,2019-12-17T11:39:36.27+01:00
https://orkg.org/property/P5016,P5016,F-measure,,2019-12-17T11:39:36.294+01:00
https://orkg.org/property/P5017,P5017,Runtime,,2019-12-17T11:39:36.314+01:00
https://orkg.org/property/P5018,P5018,On,,2019-12-17T11:39:36.336+01:00
https://orkg.org/property/P5019,P5019,Technique,,2019-12-17T11:39:36.36+01:00
https://orkg.org/property/P5020,P5020,Question analysis task,,2019-12-17T11:39:36.38+01:00
https://orkg.org/property/P5021,P5021,Phrase mapping task,,2019-12-17T11:39:36.403+01:00
https://orkg.org/property/P5022,P5022,Disambiguation task,,2019-12-17T11:39:36.425+01:00
https://orkg.org/property/P5023,P5023,Query construction task,,2019-12-17T11:39:36.445+01:00
https://orkg.org/property/P5024,P5024,Keyword,,2019-12-17T11:40:16.009+01:00
https://orkg.org/property/P5025,P5025,Filter,,2019-12-17T11:40:16.024+01:00
https://orkg.org/property/P5026,P5026,Sampling,,2019-12-17T11:40:16.036+01:00
https://orkg.org/property/P5027,P5027,Aggregation,,2019-12-17T11:40:16.048+01:00
https://orkg.org/property/P5028,P5028,Incremental,,2019-12-17T11:40:16.061+01:00
https://orkg.org/property/P5029,P5029,Disk,,2019-12-17T11:40:16.072+01:00
https://orkg.org/property/P5030,P5030,Domain,"The domain property specifies the general area or field in which the SLMs are designed to operate. The respective values are generic, coding, or scientific.",2019-12-17T11:40:16.082+01:00
