uri,id,label,description,created_at
https://orkg.org/property/P97127,P97127,# accepted submission,"Number of submission accepted to an event (e.g., scientific event) or a journal",2023-02-04T12:22:03.314426Z
https://orkg.org/property/P97113,P97113,# classes,Number of classes of a tabular dataset,2023-02-04T11:49:50.724488Z
https://orkg.org/property/P97163,P97163,# data source,Number of data sources used to build the dataset,2023-02-06T07:05:55.309799Z
https://orkg.org/property/P15027,P15027,# Entries,,2020-03-30T20:52:35.325+02:00
https://orkg.org/property/P175035,P175035,# of languages,,2025-06-29T14:02:24.393241793+02:00
https://orkg.org/property/P59000,P59000,# of Recordings,,2022-06-29T01:56:25.617677Z
https://orkg.org/property/P175019,P175019,# of References,,2025-06-22T19:12:29.253550134+02:00
https://orkg.org/property/P175037,P175037,# of Scripts,,2025-06-29T14:02:24.836821106+02:00
https://orkg.org/property/P15069,P15069,# of Subjects,number of subjects ,2020-03-30T20:57:44.879+02:00
https://orkg.org/property/P97053,P97053,# participants,"The number of participants to an event, a project, etc.",2023-01-31T05:57:48.766736Z
https://orkg.org/property/P15319,P15319,# points,,2020-03-31T09:15:44.542+02:00
https://orkg.org/property/P97049,P97049,# round,The number of rounds of the challenge,2023-01-31T05:42:09.26784Z
https://orkg.org/property/P65084,P65084,# Samples,number of test samples per class per subject,2022-08-04T15:40:52.582469Z
https://orkg.org/property/P97152,P97152,# schema.org class,The number of classes from schema.org used to annotate the resource,2023-02-05T13:21:38.659797Z
https://orkg.org/property/P97151,P97151,# Schema.org property,The number of properties of Schema.org used to annotate the resource,2023-02-05T13:20:55.827071Z
https://orkg.org/property/P65083,P65083,# Sources,,2022-08-04T15:30:25.938609Z
https://orkg.org/property/P105000,P105000,# trained images,The number of images provided for training the model in the dataset,2023-03-11T08:23:22.958507Z
https://orkg.org/property/P65087,P65087,# Users,,2022-08-04T15:43:44.039303Z
https://orkg.org/property/P186119,P186119,#Tasks Trained,,2026-02-04T09:46:14.749185649+01:00
https://orkg.org/property/P66024,P66024,%Mean Squared Error (MSE),,2022-08-04T20:21:11.10438Z
https://orkg.org/property/P66027,P66027,%Root Mean Squared Error (RMSE),,2022-08-04T20:22:56.321376Z
https://orkg.org/property/P147026,P147026,(meta) model,,2024-06-15T07:37:04.926937838+02:00
https://orkg.org/property/P146011,P146011,03 - Region,,2024-06-05T17:34:42.815485166+02:00
https://orkg.org/property/P146012,P146012,04 - Period,,2024-06-05T17:34:42.842949643+02:00
https://orkg.org/property/P146003,P146003,07- Model 2,,2024-06-05T15:10:21.746948352+02:00
https://orkg.org/property/P146006,P146006,09 - Sample Size,,2024-06-05T15:54:46.387868038+02:00
https://orkg.org/property/P146009,P146009,12 - Limitations,,2024-06-05T15:54:46.469719919+02:00
https://orkg.org/property/P58001,P58001,1st Dataset,,2022-06-18T18:00:48.106087Z
https://orkg.org/property/P58009,P58009,1st Dataset Accuracy,,2022-06-19T06:38:29.080646Z
https://orkg.org/property/P58019,P58019,1st Dataset F1-score,,2022-06-19T06:43:38.060149Z
https://orkg.org/property/P58004,P58004,1st Dataset Precision,,2022-06-18T20:34:05.934295Z
https://orkg.org/property/P58018,P58018,1st Dataset Recall,,2022-06-19T06:43:10.780342Z
https://orkg.org/property/P58006,P58006,1st Dataset Size,,2022-06-19T06:22:53.959168Z
https://orkg.org/property/P183137,P183137,1st step,,2025-11-09T10:15:37.711905671+01:00
https://orkg.org/property/P37358,P37358,2D modeling,,2021-05-29T21:33:43.086217+02:00
https://orkg.org/property/P58002,P58002,2nd Dataset,,2022-06-18T18:01:03.977405Z
https://orkg.org/property/P58010,P58010,2nd Dataset Accuracy,,2022-06-19T06:38:49.679731Z
https://orkg.org/property/P58014,P58014,2nd Dataset F1-score,,2022-06-19T06:40:03.115026Z
https://orkg.org/property/P58013,P58013,2nd Dataset Precision,,2022-06-19T06:39:36.150477Z
https://orkg.org/property/P58012,P58012,2nd Dataset Recall,,2022-06-19T06:39:14.871761Z
https://orkg.org/property/P58007,P58007,2nd Dataset Size,,2022-06-19T06:23:09.976368Z
https://orkg.org/property/P54027,P54027,2nd Dataset url,,2022-04-30T16:50:16.812521Z
https://orkg.org/property/P54022,P54022,2nd Dateset Size,,2022-04-30T16:47:14.712329Z
https://orkg.org/property/P183138,P183138,2nd step,,2025-11-09T10:15:53.436320445+01:00
https://orkg.org/property/wikidata:P4896,wikidata:P4896,3D model,,2024-01-22T21:17:36.85279311+01:00
https://orkg.org/property/P37359,P37359,3D modeling,,2021-05-29T21:34:18.475295+02:00
https://orkg.org/property/P58015,P58015,3rd Dataset F1-score,,2022-06-19T06:42:18.745927Z
https://orkg.org/property/P183139,P183139,3rd step,,2025-11-09T10:16:09.637040087+01:00
