uri,id,label,description,created_at,cluster_id
https://orkg.org/property/P83000,P83000,ontology design pattern,,2022-11-30T07:12:30.885648Z,0
https://orkg.org/property/P41664,P41664,ontology IRI,,2021-09-24T15:34:58.093632+02:00,2
https://orkg.org/property/P39139,P39139,ontology type,,2021-07-09T00:38:14.39214+02:00,3
https://orkg.org/property/P203059,P203059,ontology construction method,,2026-07-27T10:13:30.188818811+02:00,5
https://orkg.org/property/P71211,P71211,ontology learning component,,2022-10-22T07:04:11.249858Z,6
https://orkg.org/property/P110068,P110068,ontology editor,,2023-04-27T18:49:47.648809+02:00,7
https://orkg.org/property/P41633,P41633,SKOS ontology,,2021-09-22T10:43:36.099692+02:00,8
https://orkg.org/property/P45147,P45147,ontologylearningsource,,2022-03-12T18:44:34.550938+01:00,9
https://orkg.org/property/P59103,P59103,ontology component,presents ontology name or its component,2022-07-02T11:03:48.355057Z,11
https://orkg.org/property/P41818,P41818,linked ontology,,2021-10-04T11:17:50.906014+02:00,12
https://orkg.org/property/P41635,P41635,dc ontology,,2021-09-22T10:43:58.26339+02:00,13
https://orkg.org/property/P130027,P130027,ontology evaluation,presents criteria followed for verifying and validating the ontology,2023-12-03T09:14:47.895745226+01:00,14
https://orkg.org/property/P41646,P41646,geo ontology,,2021-09-22T10:46:39.250701+02:00,15
https://orkg.org/property/P44209,P44209,ontology,"Link to the ontology that is used by the resource (for instance, as its schema)",2022-02-03T13:56:51.638617+01:00,16
https://orkg.org/property/P110093,P110093,ontology language,formal language used to construct ontologies,2023-05-01T12:01:30.543703+02:00,17
https://orkg.org/property/P41663,P41663,ontology id,,2021-09-24T15:34:00.752654+02:00,18
https://orkg.org/property/P154026,P154026,ontology design strategy,14/8/2024,2024-08-14T11:09:56.143810112+02:00,19
https://orkg.org/property/P154027,P154027,ontology orientation,,2024-08-14T11:12:14.239871251+02:00,20
https://orkg.org/property/P41142,P41142,ontology availability,,2021-07-28T16:27:09.902184+02:00,21
https://orkg.org/property/P45148,P45148,ontology learning approach,,2022-03-12T18:45:58.29103+01:00,22
https://orkg.org/property/P41130,P41130,reused ontology,,2021-07-28T16:23:18.111302+02:00,23
https://orkg.org/property/P34,P34,evaluation,Model Evaluation is the process through which we quantify the quality of a system's predictions. ,2019-01-06T15:04:07.692Z,24
https://orkg.org/property/P110006,P110006,evaluation metric,The metric used for the evaluation of an implemented approach.,2023-04-11T11:25:22.518598+02:00,26
https://orkg.org/property/P200693,P200693,assessed,,2026-06-28T16:57:53.36073346+02:00,27
https://orkg.org/property/P174563,P174563,evaluation reporting,,2025-05-18T14:48:56.432454768+02:00,29
https://orkg.org/property/P25064,P25064,evaluation results,Global results of the system evaluation,2020-07-18T12:55:00.500537+02:00,30
https://orkg.org/property/P174559,P174559,evaluation scope,,2025-05-18T14:48:56.064803904+02:00,31
https://orkg.org/property/P134010,P134010,model evaluation technique,,2024-02-07T12:22:05.035981889+01:00,32
https://orkg.org/property/P154044,P154044,evaluation benchmark,Benchmark dataset used to evaluate a system. It can be an external or self-constructed one.,2024-08-17T09:49:12.651039605+02:00,33
https://orkg.org/property/P174499,P174499,evaluation framework,,2025-05-18T14:48:50.484716892+02:00,34
https://orkg.org/property/P174549,P174549,evaluation phases,,2025-05-18T14:48:54.865616203+02:00,35
https://orkg.org/property/P174565,P174565,analytical evaluation,,2025-05-18T14:48:56.634722705+02:00,36
https://orkg.org/property/P174574,P174574,in-situ evaluation,,2025-05-18T14:48:57.525226835+02:00,37
https://orkg.org/property/P174011,P174011,paper evaluation method,,2025-05-08T10:53:56.91132788+02:00,38
https://orkg.org/property/P174566,P174566,empirical evaluation,,2025-05-18T14:48:56.739837085+02:00,39
https://orkg.org/property/P97168,P97168,computational evaluation,"Evaluation of the performance of the system, e.g., in terms of time complexity, memory consumption, bandwidth, etc.",2023-02-06T07:25:08.177003Z,40
https://orkg.org/property/P174562,P174562,evaluation timeline,,2025-05-18T14:48:56.352231809+02:00,41
https://orkg.org/property/P116029,P116029,evaluation setting,,2023-06-05T12:13:00.023131+02:00,42
https://orkg.org/property/P124001,P124001,uses AI,Boolean property wheather or not an evaluation uses artificial Inteligence (AI).,2023-10-11T15:09:48.905184+02:00,43
https://orkg.org/property/P122006,P122006,evaluation criteria,"Evaluation criteria are standards or benchmarks used to measure the performance, suitability, and conformance of a product, plan, activity, or technical capability",2023-09-18T13:00:13.407738+02:00,44
https://orkg.org/property/P174561,P174561,evaluation resources,,2025-05-18T14:48:56.250332276+02:00,45
https://orkg.org/property/P1007,P1007,experiment,"A scientific procedure undertaken to make a discovery, test a hypothesis, or demonstrate a known fact.",2019-01-06T15:04:07.692Z,46
https://orkg.org/property/P200227,P200227,experiment description,,2026-06-25T17:49:14.721436262+02:00,48
https://orkg.org/property/P200397,P200397,experiment location,,2026-06-26T15:30:04.736744209+02:00,50
https://orkg.org/property/P200228,P200228,experiment time,,2026-06-25T17:49:52.675981628+02:00,51
https://orkg.org/property/P147051,P147051,experiment condition,,2024-06-18T09:32:04.031186959+02:00,52
https://orkg.org/property/P195009,P195009,experiment metadata,,2026-05-26T17:28:44.09619888+02:00,53
https://orkg.org/property/P45121,P45121,experiment setting,,2022-03-06T18:54:23.199706+01:00,55
https://orkg.org/property/P37320,P37320,experiment approach,,2021-05-26T14:23:20.600112+02:00,56
https://orkg.org/property/P118039,P118039,experiment phases,,2023-06-26T15:16:02.249736+02:00,57
https://orkg.org/property/P181069,P181069,experiment series,,2025-10-01T22:03:51.302985157+02:00,58
