uri,id,label,description,created_at
https://orkg.org/property/P5063,P5063,A sensor network,,2019-12-17T12:37:34.5+01:00
https://orkg.org/property/P5057,P5057,Accelerometer vibration sensor (sd1),,2019-12-17T12:37:34.481+01:00
https://orkg.org/property/P5058,P5058,Accelerometer vibration sensor (sd2),,2019-12-17T12:37:34.484+01:00
https://orkg.org/property/P5059,P5059,Accelerometer vibration sensor (sd3),,2019-12-17T12:37:34.487+01:00
https://orkg.org/property/P5068,P5068,acronym,,2019-12-17T12:37:34.519+01:00
https://orkg.org/property/P5074,P5074,actual,,2019-12-17T12:37:34.535+01:00
https://orkg.org/property/P0,P0,addresses,Physical address of the item.,2019-01-06T15:04:07.692Z
https://orkg.org/property/P7,P7,affiliation,"An organization that this person is affiliated with. For example, a school/university.",2019-01-06T15:04:07.692Z
https://orkg.org/property/P5027,P5027,Aggregation,,2019-12-17T11:40:16.048+01:00
https://orkg.org/property/P4058,P4058,Aktivität,,2019-01-06T15:04:07.692Z
https://orkg.org/property/P2001,P2001,Algorithm,"A finite sequence of rigorous well-defined instructions, typically used to solve a class of specific problems or to perform a computation.",2019-01-06T15:04:07.692Z
https://orkg.org/property/P5079,P5079,Apache Cassandra,,2019-12-17T12:37:34.549+01:00
https://orkg.org/property/P5077,P5077,Apache Jena,,2019-12-17T12:37:34.543+01:00
https://orkg.org/property/P5080,P5080,Apache Storm,,2019-12-17T12:37:34.552+01:00
https://orkg.org/property/P5031,P5031,Application type,,2019-12-17T11:40:16.094+01:00
https://orkg.org/property/P33,P33,approach,,2019-01-06T15:04:07.692Z
https://orkg.org/property/P5043,P5043,Approach type,The type of an approach implemented.,2019-12-17T11:45:56.122+01:00
https://orkg.org/property/P7015,P7015,Architecture,,2019-12-19T15:06:37.405+01:00
https://orkg.org/property/P4069,P4069,attaining,,2019-01-06T15:04:07.692Z
https://orkg.org/property/P6,P6,author,The author of this content.,2019-01-06T15:04:07.692Z
https://orkg.org/property/P4033,P4033,available,,2019-01-06T15:04:07.692Z
https://orkg.org/property/P5062,P5062,AXIS 211W Datasheet,,2019-12-17T12:37:34.497+01:00
https://orkg.org/property/P5060,P5060,AXIS 211W Wireless Network Camera,,2019-12-17T12:37:34.49+01:00
https://orkg.org/property/P5061,P5061,AXIS Communications,,2019-12-17T12:37:34.493+01:00
https://orkg.org/property/P4054,P4054,based on,,2019-01-06T15:04:07.692Z
https://orkg.org/property/P2003,P2003,Best complexity,,2019-01-06T15:04:07.692Z
https://orkg.org/property/P4035,P4035,between,,2019-01-06T15:04:07.692Z
https://orkg.org/property/P4032,P4032,between advertisements and Information National Training Organisation and Library and Information Management Employability Skills,,2019-01-06T15:04:07.692Z
https://orkg.org/property/P7008,P7008,by using,,2019-12-19T11:51:22.285+01:00
https://orkg.org/property/P4060,P4060,capable of,,2019-01-06T15:04:07.692Z
https://orkg.org/property/P4024,P4024,Challenge,,2019-01-06T15:04:07.692Z
https://orkg.org/property/P5070,P5070,class,,2019-12-17T12:37:34.525+01:00
https://orkg.org/property/P7038,P7038,Class count,,2020-01-17T12:34:56.839+01:00
https://orkg.org/property/P5095,P5095,class mappings,,2019-12-17T12:37:34.596+01:00
https://orkg.org/property/P5088,P5088,classes,,2019-12-17T12:37:34.575+01:00
https://orkg.org/property/P3003,P3003,Classification,,2019-01-06T15:04:07.692Z
https://orkg.org/property/P5007,P5007,Clustering,,2019-12-17T09:42:25.598+01:00
https://orkg.org/property/P4005,P4005,code List,,2019-01-06T15:04:07.692Z
https://orkg.org/property/P7012,P7012,Cohort size,,2019-12-19T15:06:37.314+01:00
https://orkg.org/property/P4019,P4019,Company,,2019-01-06T15:04:07.692Z
https://orkg.org/property/P4008,P4008,component,,2019-01-06T15:04:07.692Z
https://orkg.org/property/P1008,P1008,conducted at,,2019-01-06T15:04:07.692Z
